id;instrumento;acorde;acorde_enarmonico;tonica;tonica_pt;qualidade;formula_intervalar;inversao_numero;inversao_nome;notas_ordenadas;notas_separadas;baixo_sugerido;mao_esquerda_sugerida;mao_direita_sugerida;oitava_referencia;observacoes;fonte
teclado-D9-4;teclado;D9;;D;Ré;nona dominante;1 3 5 b7 9;4;4ª inversão;C-D-E-F#-A;C|D|E|F#|A;C;D;C-D-E-F#-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dmaj9-0;teclado;Dmaj9;;D;Ré;nona maior;1 3 5 7 9;0;posição fundamental;D-E-F#-A-C#;D|E|F#|A|C#;D;D;D-E-F#-A-C#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dmaj9-1;teclado;Dmaj9;;D;Ré;nona maior;1 3 5 7 9;1;1ª inversão;E-F#-A-C#-D;E|F#|A|C#|D;E;D;E-F#-A-C#-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dmaj9-2;teclado;Dmaj9;;D;Ré;nona maior;1 3 5 7 9;2;2ª inversão;F#-A-C#-D-E;F#|A|C#|D|E;F#;D;F#-A-C#-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dmaj9-3;teclado;Dmaj9;;D;Ré;nona maior;1 3 5 7 9;3;3ª inversão;A-C#-D-E-F#;A|C#|D|E|F#;A;D;A-C#-D-E-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dmaj9-4;teclado;Dmaj9;;D;Ré;nona maior;1 3 5 7 9;4;4ª inversão;C#-D-E-F#-A;C#|D|E|F#|A;C#;D;C#-D-E-F#-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm9-0;teclado;Dm9;;D;Ré;menor com nona;1 b3 5 b7 9;0;posição fundamental;D-E-F-A-C;D|E|F|A|C;D;D;D-E-F-A-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm9-1;teclado;Dm9;;D;Ré;menor com nona;1 b3 5 b7 9;1;1ª inversão;E-F-A-C-D;E|F|A|C|D;E;D;E-F-A-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm9-2;teclado;Dm9;;D;Ré;menor com nona;1 b3 5 b7 9;2;2ª inversão;F-A-C-D-E;F|A|C|D|E;F;D;F-A-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm9-3;teclado;Dm9;;D;Ré;menor com nona;1 b3 5 b7 9;3;3ª inversão;A-C-D-E-F;A|C|D|E|F;A;D;A-C-D-E-F;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm9-4;teclado;Dm9;;D;Ré;menor com nona;1 b3 5 b7 9;4;4ª inversão;C-D-E-F-A;C|D|E|F|A;C;D;C-D-E-F-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D11-0;teclado;D11;;D;Ré;décima primeira;1 3 5 b7 9 11;0;posição fundamental;D-E-F#-G-A-C;D|E|F#|G|A|C;D;D;D-E-F#-G-A-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D11-1;teclado;D11;;D;Ré;décima primeira;1 3 5 b7 9 11;1;1ª inversão;E-F#-G-A-C-D;E|F#|G|A|C|D;E;D;E-F#-G-A-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D11-2;teclado;D11;;D;Ré;décima primeira;1 3 5 b7 9 11;2;2ª inversão;F#-G-A-C-D-E;F#|G|A|C|D|E;F#;D;F#-G-A-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D11-3;teclado;D11;;D;Ré;décima primeira;1 3 5 b7 9 11;3;3ª inversão;G-A-C-D-E-F#;G|A|C|D|E|F#;G;D;G-A-C-D-E-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D11-4;teclado;D11;;D;Ré;décima primeira;1 3 5 b7 9 11;4;4ª inversão;A-C-D-E-F#-G;A|C|D|E|F#|G;A;D;A-C-D-E-F#-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D11-5;teclado;D11;;D;Ré;décima primeira;1 3 5 b7 9 11;5;5ª inversão;C-D-E-F#-G-A;C|D|E|F#|G|A;C;D;C-D-E-F#-G-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm11-0;teclado;Dm11;;D;Ré;menor com décima primeira;1 b3 5 b7 9 11;0;posição fundamental;D-E-F-G-A-C;D|E|F|G|A|C;D;D;D-E-F-G-A-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm11-1;teclado;Dm11;;D;Ré;menor com décima primeira;1 b3 5 b7 9 11;1;1ª inversão;E-F-G-A-C-D;E|F|G|A|C|D;E;D;E-F-G-A-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm11-2;teclado;Dm11;;D;Ré;menor com décima primeira;1 b3 5 b7 9 11;2;2ª inversão;F-G-A-C-D-E;F|G|A|C|D|E;F;D;F-G-A-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm11-3;teclado;Dm11;;D;Ré;menor com décima primeira;1 b3 5 b7 9 11;3;3ª inversão;G-A-C-D-E-F;G|A|C|D|E|F;G;D;G-A-C-D-E-F;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm11-4;teclado;Dm11;;D;Ré;menor com décima primeira;1 b3 5 b7 9 11;4;4ª inversão;A-C-D-E-F-G;A|C|D|E|F|G;A;D;A-C-D-E-F-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm11-5;teclado;Dm11;;D;Ré;menor com décima primeira;1 b3 5 b7 9 11;5;5ª inversão;C-D-E-F-G-A;C|D|E|F|G|A;C;D;C-D-E-F-G-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D13-0;teclado;D13;;D;Ré;décima terceira;1 3 5 b7 9 13;0;posição fundamental;D-E-F#-A-B-C;D|E|F#|A|B|C;D;D;D-E-F#-A-B-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D13-1;teclado;D13;;D;Ré;décima terceira;1 3 5 b7 9 13;1;1ª inversão;E-F#-A-B-C-D;E|F#|A|B|C|D;E;D;E-F#-A-B-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D13-2;teclado;D13;;D;Ré;décima terceira;1 3 5 b7 9 13;2;2ª inversão;F#-A-B-C-D-E;F#|A|B|C|D|E;F#;D;F#-A-B-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D13-3;teclado;D13;;D;Ré;décima terceira;1 3 5 b7 9 13;3;3ª inversão;A-B-C-D-E-F#;A|B|C|D|E|F#;A;D;A-B-C-D-E-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D13-4;teclado;D13;;D;Ré;décima terceira;1 3 5 b7 9 13;4;4ª inversão;B-C-D-E-F#-A;B|C|D|E|F#|A;B;D;B-C-D-E-F#-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D13-5;teclado;D13;;D;Ré;décima terceira;1 3 5 b7 9 13;5;5ª inversão;C-D-E-F#-A-B;C|D|E|F#|A|B;C;D;C-D-E-F#-A-B;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm13-0;teclado;Dm13;;D;Ré;menor com décima terceira;1 b3 5 b7 9 13;0;posição fundamental;D-E-F-A-B-C;D|E|F|A|B|C;D;D;D-E-F-A-B-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm13-1;teclado;Dm13;;D;Ré;menor com décima terceira;1 b3 5 b7 9 13;1;1ª inversão;E-F-A-B-C-D;E|F|A|B|C|D;E;D;E-F-A-B-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm13-2;teclado;Dm13;;D;Ré;menor com décima terceira;1 b3 5 b7 9 13;2;2ª inversão;F-A-B-C-D-E;F|A|B|C|D|E;F;D;F-A-B-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm13-3;teclado;Dm13;;D;Ré;menor com décima terceira;1 b3 5 b7 9 13;3;3ª inversão;A-B-C-D-E-F;A|B|C|D|E|F;A;D;A-B-C-D-E-F;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm13-4;teclado;Dm13;;D;Ré;menor com décima terceira;1 b3 5 b7 9 13;4;4ª inversão;B-C-D-E-F-A;B|C|D|E|F|A;B;D;B-C-D-E-F-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Dm13-5;teclado;Dm13;;D;Ré;menor com décima terceira;1 b3 5 b7 9 13;5;5ª inversão;C-D-E-F-A-B;C|D|E|F|A|B;C;D;C-D-E-F-A-B;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b5-0;teclado;D7b5;;D;Ré;sétima com quinta diminuta;1 3 b5 b7;0;posição fundamental;D-F#-G#-C;D|F#|G#|C;D;D;D-F#-G#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b5-1;teclado;D7b5;;D;Ré;sétima com quinta diminuta;1 3 b5 b7;1;1ª inversão;F#-G#-C-D;F#|G#|C|D;F#;D;F#-G#-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b5-2;teclado;D7b5;;D;Ré;sétima com quinta diminuta;1 3 b5 b7;2;2ª inversão;G#-C-D-F#;G#|C|D|F#;G#;D;G#-C-D-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b5-3;teclado;D7b5;;D;Ré;sétima com quinta diminuta;1 3 b5 b7;3;3ª inversão;C-D-F#-G#;C|D|F#|G#;C;D;C-D-F#-G#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#5-0;teclado;D7#5;;D;Ré;sétima com quinta aumentada;1 3 #5 b7;0;posição fundamental;D-F#-A#-C;D|F#|A#|C;D;D;D-F#-A#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#5-1;teclado;D7#5;;D;Ré;sétima com quinta aumentada;1 3 #5 b7;1;1ª inversão;F#-A#-C-D;F#|A#|C|D;F#;D;F#-A#-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#5-2;teclado;D7#5;;D;Ré;sétima com quinta aumentada;1 3 #5 b7;2;2ª inversão;A#-C-D-F#;A#|C|D|F#;A#;D;A#-C-D-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#5-3;teclado;D7#5;;D;Ré;sétima com quinta aumentada;1 3 #5 b7;3;3ª inversão;C-D-F#-A#;C|D|F#|A#;C;D;C-D-F#-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b9-0;teclado;D7b9;;D;Ré;sétima com nona menor;1 b9 3 5 b7;0;posição fundamental;D-D#-F#-A-C;D|D#|F#|A|C;D;D;D-D#-F#-A-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b9-1;teclado;D7b9;;D;Ré;sétima com nona menor;1 b9 3 5 b7;1;1ª inversão;D#-F#-A-C-D;D#|F#|A|C|D;D#;D;D#-F#-A-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b9-2;teclado;D7b9;;D;Ré;sétima com nona menor;1 b9 3 5 b7;2;2ª inversão;F#-A-C-D-D#;F#|A|C|D|D#;F#;D;F#-A-C-D-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b9-3;teclado;D7b9;;D;Ré;sétima com nona menor;1 b9 3 5 b7;3;3ª inversão;A-C-D-D#-F#;A|C|D|D#|F#;A;D;A-C-D-D#-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7b9-4;teclado;D7b9;;D;Ré;sétima com nona menor;1 b9 3 5 b7;4;4ª inversão;C-D-D#-F#-A;C|D|D#|F#|A;C;D;C-D-D#-F#-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#9-0;teclado;D7#9;;D;Ré;sétima com nona aumentada;1 #9 3 5 b7;0;posição fundamental;D-F-F#-A-C;D|F|F#|A|C;D;D;D-F-F#-A-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#9-1;teclado;D7#9;;D;Ré;sétima com nona aumentada;1 #9 3 5 b7;1;1ª inversão;F-F#-A-C-D;F|F#|A|C|D;F;D;F-F#-A-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#9-2;teclado;D7#9;;D;Ré;sétima com nona aumentada;1 #9 3 5 b7;2;2ª inversão;F#-A-C-D-F;F#|A|C|D|F;F#;D;F#-A-C-D-F;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#9-3;teclado;D7#9;;D;Ré;sétima com nona aumentada;1 #9 3 5 b7;3;3ª inversão;A-C-D-F-F#;A|C|D|F|F#;A;D;A-C-D-F-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D7#9-4;teclado;D7#9;;D;Ré;sétima com nona aumentada;1 #9 3 5 b7;4;4ª inversão;C-D-F-F#-A;C|D|F|F#|A;C;D;C-D-F-F#-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D5-0;teclado;D5;;D;Ré;quinta (power chord);1 5;0;posição fundamental;D-A;D|A;D;D;D-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D5-1;teclado;D5;;D;Ré;quinta (power chord);1 5;1;1ª inversão;A-D;A|D;A;D;A-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#-0;teclado;D#;Eb;D#;Ré sustenido;maior;1 3 5;0;posição fundamental;D#-G-A#;D#|G|A#;D#;D#;D#-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#-1;teclado;D#;Eb;D#;Ré sustenido;maior;1 3 5;1;1ª inversão;G-A#-D#;G|A#|D#;G;D#;G-A#-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#-2;teclado;D#;Eb;D#;Ré sustenido;maior;1 3 5;2;2ª inversão;A#-D#-G;A#|D#|G;A#;D#;A#-D#-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#m-0;teclado;D#m;Ebm;D#;Ré sustenido;menor;1 b3 5;0;posição fundamental;D#-F#-A#;D#|F#|A#;D#;D#;D#-F#-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#m-1;teclado;D#m;Ebm;D#;Ré sustenido;menor;1 b3 5;1;1ª inversão;F#-A#-D#;F#|A#|D#;F#;D#;F#-A#-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#m-2;teclado;D#m;Ebm;D#;Ré sustenido;menor;1 b3 5;2;2ª inversão;A#-D#-F#;A#|D#|F#;A#;D#;A#-D#-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#7-0;teclado;D#7;Eb7;D#;Ré sustenido;sétima dominante;1 3 5 b7;0;posição fundamental;D#-G-A#-C#;D#|G|A#|C#;D#;D#;D#-G-A#-C#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#7-1;teclado;D#7;Eb7;D#;Ré sustenido;sétima dominante;1 3 5 b7;1;1ª inversão;G-A#-C#-D#;G|A#|C#|D#;G;D#;G-A#-C#-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#7-2;teclado;D#7;Eb7;D#;Ré sustenido;sétima dominante;1 3 5 b7;2;2ª inversão;A#-C#-D#-G;A#|C#|D#|G;A#;D#;A#-C#-D#-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#7-3;teclado;D#7;Eb7;D#;Ré sustenido;sétima dominante;1 3 5 b7;3;3ª inversão;C#-D#-G-A#;C#|D#|G|A#;C#;D#;C#-D#-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#maj7-0;teclado;D#maj7;Ebmaj7;D#;Ré sustenido;sétima maior;1 3 5 7;0;posição fundamental;D#-G-A#-D;D#|G|A#|D;D#;D#;D#-G-A#-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#maj7-1;teclado;D#maj7;Ebmaj7;D#;Ré sustenido;sétima maior;1 3 5 7;1;1ª inversão;G-A#-D-D#;G|A#|D|D#;G;D#;G-A#-D-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#maj7-2;teclado;D#maj7;Ebmaj7;D#;Ré sustenido;sétima maior;1 3 5 7;2;2ª inversão;A#-D-D#-G;A#|D|D#|G;A#;D#;A#-D-D#-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#maj7-3;teclado;D#maj7;Ebmaj7;D#;Ré sustenido;sétima maior;1 3 5 7;3;3ª inversão;D-D#-G-A#;D|D#|G|A#;D;D#;D-D#-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#m7-0;teclado;D#m7;Ebm7;D#;Ré sustenido;menor com sétima;1 b3 5 b7;0;posição fundamental;D#-F#-A#-C#;D#|F#|A#|C#;D#;D#;D#-F#-A#-C#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#m7-1;teclado;D#m7;Ebm7;D#;Ré sustenido;menor com sétima;1 b3 5 b7;1;1ª inversão;F#-A#-C#-D#;F#|A#|C#|D#;F#;D#;F#-A#-C#-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-D#m7-2;teclado;D#m7;Ebm7;D#;Ré sustenido;menor com sétima;1 b3 5 b7;2;2ª inversão;A#-C#-D#-F#;A#|C#|D#|F#;A#;D#;A#-C#-D#-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
